ts_code,symbol,name,area,industry,list_date
SZ000739,000739,普洛药业,浙江,化学制药,19970509
SZ000750,000750,国海证券,广西,证券,19970709
SZ000751,000751,锌业股份,辽宁,铅锌,19970626
SZ000752,000752,*ST西发,西藏,啤酒,19970625
SZ000753,000753,漳州发展,福建,汽车服务,19970626
SZ000755,000755,山西路桥,山西,路桥,19970627
SZ000756,000756,新华制药,山东,化学制药,19970806
SZ000757,000757,浩物股份,四川,汽车服务,19970627
SZ000758,000758,中色股份,北京,铅锌,19970416
SZ000759,000759,中百集团,湖北,超市连锁,19970519
SZ000761,000761,本钢板材,辽宁,普钢,19980115
SZ000762,000762,西藏矿业,西藏,小金属,19970708
SZ000766,000766,通化金马,吉林,化学制药,19970430
SZ000767,000767,晋控电力,山西,火力发电,19970609
SZ000768,000768,中航西飞,陕西,航空,19970626
SZ000776,000776,广发证券,广东,证券,19970611
SZ000777,000777,中核科技,江苏,机械基件,19970710
SZ000778,000778,新兴铸管,河北,钢加工,19970606
SZ000779,000779,甘咨询,甘肃,建筑工程,19970528
SZ000782,000782,美达股份,广东,化纤,19970619
SZ000783,000783,长江证券,湖北,证券,19970731
SZ000785,000785,居然之家,湖北,百货,19970711
SZ000786,000786,北新建材,北京,其他建材,19970606
SZ000788,000788,北大医药,重庆,化学制药,19970616
SZ000789,000789,万年青,江西,水泥,19970923
SZ000790,000790,华神科技,四川,中成药,19980327
SZ000791,000791,甘肃能源,甘肃,水力发电,19971014
SZ000792,000792,盐湖股份,青海,农药化肥,19970904
SZ000793,000793,华闻集团,海南,出版业,19970729
SZ000795,000795,英洛华,浙江,矿物制品,19970808
SZ000796,000796,*ST凯撒,海南,旅游服务,19970703
SZ000797,000797,中国武夷,福建,全国地产,19970715
SZ000798,000798,中水渔业,北京,渔业,19980212
SZ000799,000799,酒鬼酒,湖南,白酒,19970718
SZ000800,000800,一汽解放,吉林,汽车整车,19970618
SZ000801,000801,四川九洲,四川,家用电器,19980506
SZ000802,000802,北京文化,北京,影视音像,19980108
SZ000803,000803,山高环能,四川,环境保护,19980303
SZ000807,000807,云铝股份,云南,铝,19980408
SZ000809,000809,铁岭新城,辽宁,区域地产,19980616
SZ000810,000810,创维数字,四川,家用电器,19980602
SZ000811,000811,冰轮环境,山东,工程机械,19980528
SZ000812,000812,陕西金叶,陕西,广告包装,19980623
SZ000813,000813,德展健康,新疆,化学制药,19980519
SZ000815,000815,美利云,宁夏,造纸,19980609
SZ000816,000816,智慧农业,江苏,农用机械,19970818
SZ000818,000818,航锦科技,辽宁,化工原料,19971017
SZ000819,000819,岳阳兴长,湖南,石油加工,19970625
SZ000820,000820,神雾节能,江西,环境保护,19980630
SZ000821,000821,京山轻机,湖北,电气设备,19980626
SZ000822,000822,山东海化,山东,化工原料,19980703
SZ000823,000823,超声电子,广东,元器件,19971008
SZ000825,000825,太钢不锈,山西,特种钢,19981021
SZ000826,000826,启迪环境,湖北,环境保护,19980225
SZ000828,000828,东莞控股,广东,路桥,19970617
SZ000829,000829,天音控股,江西,其他商业,19971202
SZ000830,000830,鲁西化工,山东,农药化肥,19980807
SZ000831,000831,中国稀土,江西,小金属,19980911
SZ000833,000833,粤桂股份,广西,综合类,19981111
SZ000836,000836,富通信息,天津,通信设备,19970929
SZ000837,000837,秦川机床,陕西,机床制造,19980928
SZ000838,000838,财信发展,重庆,区域地产,19970626
SZ000839,000839,ST国安,北京,综合类,19971031
SZ000848,000848,承德露露,河北,软饮料,19971113
SZ000850,000850,华茂股份,安徽,纺织,19981007
SZ000851,000851,高鸿股份,贵州,通信设备,19980609
SZ000852,000852,石化机械,湖北,化工机械,19981126
SZ000856,000856,冀东装备,河北,专用机械,19980813
SZ000858,000858,五粮液,四川,白酒,19980427
SZ000859,000859,国风新材,安徽,塑料,19981119
SZ000860,000860,顺鑫农业,北京,白酒,19981104
SZ000861,000861,海印股份,广东,其他商业,19981028
SZ000862,000862,银星能源,宁夏,新型电力,19980915
SZ000863,000863,三湘印象,上海,区域地产,19970925
SZ000868,000868,安凯客车,安徽,汽车整车,19970725
SZ000869,000869,张裕A,山东,红黄酒,20001026
SZ000875,000875,吉电股份,吉林,火力发电,20020926
SZ000876,000876,新希望,四川,饲料,19980311
SZ000877,000877,天山股份,新疆,水泥,19990107
SZ000878,000878,云南铜业,云南,铜,19980602
SZ000880,000880,潍柴重机,山东,专用机械,19980402
SZ000881,000881,中广核技,辽宁,综合类,19980902
SZ000882,000882,华联股份,北京,其他商业,19980616
SZ000883,000883,湖北能源,湖北,火力发电,19980519
SZ000885,000885,城发环境,河南,环境保护,19990319
SZ000886,000886,海南高速,海南,区域地产,19980123
SZ000887,000887,中鼎股份,安徽,汽车配件,19981203
SZ000888,000888,峨眉山A,四川,旅游景点,19971021
SZ000889,000889,ST中嘉,河北,通信设备,19971218
SZ000890,000890,法尔胜,江苏,环境保护,19990119
SZ000892,000892,欢瑞世纪,重庆,影视音像,19990115
SZ000893,000893,亚钾国际,广东,农药化肥,19981224
SZ000895,000895,双汇发展,河南,食品,19981210
SZ000897,000897,津滨发展,天津,区域地产,19990422
SZ000898,000898,鞍钢股份,辽宁,普钢,19971225
SZ000899,000899,赣能股份,江西,火力发电,19971126
SZ000900,000900,现代投资,湖南,路桥,19990128
SZ000901,000901,航天科技,黑龙江,汽车配件,19990401
SZ000902,000902,新洋丰,湖北,农药化肥,19990408
SZ000903,000903,云内动力,云南,汽车配件,19990415
SZ000905,000905,厦门港务,福建,港口,19990429
SZ000906,000906,浙商中拓,浙江,仓储物流,19990707
SZ000908,000908,景峰医药,湖南,化学制药,19990203
SZ000909,000909,ST数源,浙江,综合类,19990507
SZ000910,000910,大亚圣象,江苏,家居用品,19990630
SZ000911,000911,广农糖业,广西,食品,19990527
SZ000912,000912,泸天化,四川,农药化肥,19990603
SZ000913,000913,钱江摩托,浙江,摩托车,19990514
SZ000915,000915,华特达因,山东,化学制药,19990609
SZ000917,000917,电广传媒,湖南,影视音像,19990325
SZ000919,000919,金陵药业,江苏,化学制药,19991118
SZ000920,000920,沃顿科技,贵州,环境保护,19990616
SZ000921,000921,海信家电,广东,家用电器,19990713
SZ000922,000922,佳电股份,黑龙江,电气设备,19990618
SZ000923,000923,河钢资源,河北,普钢,19990714
SZ000925,000925,众合科技,浙江,运输设备,19990611
SZ000926,000926,福星股份,湖北,区域地产,19990618
SZ000927,000927,中国铁物,天津,仓储物流,19990727
SZ000928,000928,中钢国际,吉林,建筑工程,19990312
SZ000929,000929,兰州黄河,甘肃,啤酒,19990623
SZ000930,000930,中粮科技,安徽,农业综合,19990712
SZ000931,000931,中关村,北京,化学制药,19990712
SZ000932,000932,华菱钢铁,湖南,普钢,19990803
SZ000933,000933,神火股份,河南,铝,19990831
SZ000935,000935,四川双马,四川,水泥,19990824
SZ000936,000936,华西股份,江苏,化纤,19990810
SZ000937,000937,冀中能源,河北,煤炭开采,19990909
SZ000938,000938,紫光股份,北京,软件服务,19991104
SZ000948,000948,南天信息,云南,软件服务,19991014
SZ000949,000949,新乡化纤,河南,化纤,19991021
SZ000950,000950,重药控股,重庆,医药商业,19990916
SZ000951,000951,中国重汽,山东,汽车整车,19991125
SZ000952,000952,广济药业,湖北,化学制药,19991112
SZ000953,000953,河化股份,广西,化学制药,19991202
SZ000955,000955,欣龙控股,海南,纺织,19991209
SZ000957,000957,中通客车,山东,汽车整车,20000113
SZ000958,000958,电投产融,河北,多元金融,19991223
SZ000959,000959,首钢股份,北京,普钢,19991216
SZ000960,000960,锡业股份,云南,小金属,20000221
SZ000961,000961,中南建设,江苏,全国地产,20000301
SZ000962,000962,东方钽业,宁夏,小金属,20000120
SZ000963,000963,华东医药,浙江,化学制药,20000127
SZ000965,000965,天保基建,天津,区域地产,20000406
SZ000966,000966,长源电力,湖北,火力发电,20000316
SZ000967,000967,盈峰环境,浙江,环境保护,20000330
SZ000968,000968,蓝焰控股,山西,石油开采,20000622
SZ000969,000969,安泰科技,北京,小金属,20000529
SZ000970,000970,中科三环,北京,矿物制品,20000420
SZ000971,000971,ST高升,湖北,互联网,20000427
SZ000972,000972,中基健康,新疆,食品,20000926
SZ000973,000973,佛塑科技,广东,塑料,20000525
